@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sessionId numeric
@attribute framing {0,1,2}
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
605,1,watch,pur,colight,'Remote Server',opti,1
606,0,tv,pur,coassis,Locally,insight,1
607,0,tv,pur,coassis,Locally,reco,0
610,0,alarm,pur,cotv,Locally,reco,1
611,0,assis,pur,coalarm,Locally,reco,1
612,2,tv,pur,cowash,'Third Party Share',opti,1
614,0,alarm,pur,cowash,Locally,reco,1
615,0,assis,pur,coassis,Locally,nothing,1
616,1,tv,pur,coassis,'Remote Server',insight,1
617,2,assis,pur,coalarm,'Third Party Share',opti,1
619,1,alarm,pur,cotv,'Remote Server',insight,0
620,1,tv,pur,corefri,'Remote Server',reco,1
685,0,alarm,pur,colight,Locally,opti,0
621,0,assis,pur,colight,Locally,opti,1
622,1,tv,pur,cohvac,'Remote Server',insight,1
649,2,alarm,pur,cohvac,'Third Party Share',reco,1
628,2,alarm,pur,colight,'Third Party Share',reco,1
633,1,assis,pur,coassis,'Remote Server',opti,0
634,0,watch,pur,cosecu,Locally,nothing,1
679,1,alarm,pur,cohvac,'Remote Server',nothing,1
636,2,assis,pur,cosecu,'Third Party Share',nothing,0
640,0,assis,pur,corefri,Locally,reco,1
641,2,assis,pur,corefri,'Third Party Share',insight,0
642,2,alarm,pur,coalarm,'Third Party Share',nothing,0
644,2,alarm,pur,cotv,'Third Party Share',reco,1
645,1,assis,pur,cosecu,'Remote Server',reco,1
646,0,assis,pur,cotv,Locally,opti,1
650,2,assis,pur,cohvac,'Third Party Share',insight,1
651,0,watch,pur,cosecu,Locally,reco,1
652,2,assis,pur,cosecu,'Third Party Share',reco,1
653,1,tv,pur,cotv,'Remote Server',insight,1
655,0,alarm,pur,coassis,Locally,opti,1
656,1,assis,pur,cosecu,'Remote Server',opti,1
658,2,assis,pur,cosecu,'Third Party Share',opti,1
659,0,assis,pur,cotv,Locally,nothing,0
660,1,alarm,pur,corefri,'Remote Server',insight,1
662,0,tv,pur,coalarm,Locally,reco,1
664,0,alarm,pur,colight,Locally,opti,1
665,1,tv,pur,corefri,'Remote Server',nothing,1
666,2,tv,pur,coassis,'Third Party Share',nothing,1
667,1,assis,pur,coalarm,'Remote Server',nothing,1
671,0,watch,pur,cotv,Locally,nothing,1
674,2,assis,pur,coassis,'Third Party Share',reco,0
675,1,tv,pur,coalarm,'Remote Server',reco,0
676,1,watch,pur,corefri,'Remote Server',insight,1
677,0,assis,pur,colight,Locally,reco,0
750,1,alarm,pur,coalarm,'Remote Server',nothing,1
680,0,watch,pur,cotv,Locally,opti,1
681,2,tv,pur,coalarm,'Third Party Share',nothing,1
682,1,alarm,pur,cosecu,'Remote Server',nothing,0
684,0,assis,pur,cowash,Locally,opti,1
686,2,assis,pur,corefri,'Third Party Share',opti,0
691,1,watch,pur,coalarm,'Remote Server',nothing,1
694,2,assis,pur,cosecu,'Third Party Share',insight,0
696,0,alarm,pur,coassis,Locally,insight,1
698,2,tv,pur,cotv,'Third Party Share',nothing,0
699,2,watch,pur,itself,'Third Party Share',nothing,0
714,2,watch,pur,cotv,'Third Party Share',reco,0
702,1,assis,pur,coassis,'Remote Server',nothing,1
